id,expression,variants,meaning,translation,emotion,intent,example,warning,source,updated_at
slang_0013,럭키비키,,뜻밖의 상황을 긍정적으로 받아들이는 표현,오히려 좋은 일이 생겨서 다행임,긍정,긍정적 해석,버스를 놓쳤는데 바로 급행이 와서 완전 럭키비키임,불편한 상황을 지나치게 가볍게 받아들이는 표현으로 들릴 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0014,인싸,,사람들과 잘 어울리고 활동적인 사람,사교적이고 사람들과 잘 어울리는 사람,긍정,평가,걔는 동아리에서 완전 인싸임,사람을 단순하게 구분하는 표현일 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0015,아싸,,사람들과 잘 어울리지 않거나 혼자 지내는 사람,혼자 지내는 것을 편하게 여기는 사람,중립 또는 부정,평가,나는 주말엔 아싸 모드임,비하 표현으로 사용될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0016,찐친,,정말 가까운 친구,매우 친한 친구,긍정,관계 설명,걔는 내 찐친임,친밀도를 과장해 표현함,직접 구축(공개 사용례 기반),2026.7.15
slang_0017,남사친,남자사람친구,연애 관계가 아닌 남자 친구,친한 남자 친구,중립,관계 설명,걔는 그냥 남사친임,연애 관계 여부를 강조하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0018,여사친,여자사람친구,연애 관계가 아닌 여자 친구,친한 여자 친구,중립,관계 설명,그 친구는 여사친임,연애 관계 여부를 강조하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0019,꾸안꾸,꾸민듯안꾸민듯,꾸민 것 같지만 자연스러운 스타일,자연스럽게 꾸민 모습,긍정,스타일 평가,오늘은 꾸안꾸로 입었음,외모 평가로 느껴질 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0020,오운완,오늘운동완료,오늘 운동을 마쳤다는 뜻,오늘 운동을 끝냄,성취감,상태 공유,오늘도 오운완함,운동 인증용 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0021,갓생,,부지런하고 계획적으로 사는 생활,매우 부지런하고 계획적인 생활,긍정,자기평가,이번 방학엔 갓생 살 거임,지나친 자기관리 압박으로 이어질 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0022,긁혔네,긁힘|제대로 긁힘|긁혔냐,상대방의 말에 약점이 찔려 불쾌하거나 예민하게 반응함,상대의 말에 마음이 상해 예민하게 반응함,불쾌함,반응 지적,그 말 듣고 바로 화내는 걸 보니 좀 긁혔네,상대방을 자극하거나 조롱하는 표현으로 사용될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0023,플렉스,,돈을 과감하게 쓰거나 성과를 과시함,큰돈을 쓰거나 성과를 자랑함,자랑,과시,월급날이라 새 신발 플렉스함,과소비를 긍정하는 의미로 보일 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0024,이왜진,이게 왜 진짜,믿기 어려운 일이 실제로 일어났을 때 사용하는 표현,믿기 어려운 일이 정말로 일어남,놀람,상황에 대한 의문,농담으로 한 말이 실제 뉴스에 나왔는데 이왜진,놀랍거나 황당한 상황에서 장난스럽게 사용함,직접 구축(공개 사용례 기반),2026.7.15
slang_0025,소확행,소소하지만확실한행복,작지만 확실하게 느끼는 행복,작지만 분명한 행복,행복,감정 공유,퇴근 후 아이스크림이 소확행임,긍정적 생활 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0026,워라밸,워크라이프밸런스,일과 생활의 균형,일과 개인 생활의 균형,중립,가치 평가,이 회사는 워라밸이 좋음,직장 환경에 따라 의미가 다름,직접 구축(공개 사용례 기반),2026.7.15
slang_0027,케바케,케이스바이케이스,경우에 따라 다름,상황에 따라 다름,중립,설명,그건 사람마다 케바케임,책임 회피처럼 들릴 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0028,사바사,사람바이사람,사람마다 다름,사람에 따라 다름,중립,설명,취향은 사바사임,개인차를 강조하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0029,도파민,,강한 재미나 자극으로 흥분되고 즐거운 상태,매우 재미있고 자극적이어서 기분이 들뜸,흥분,재미 강조,경기가 마지막에 역전돼서 도파민 터짐,의학적 의미보다 재미와 자극을 비유적으로 표현한 말임,직접 구축(공개 사용례 기반),2026.7.15
slang_0030,뇌피셜,,근거 없이 개인의 생각이나 추측만으로 만든 주장,확실한 근거 없이 개인적으로 추측한 생각,불확실함,추측,이건 그냥 내 뇌피셜인데 다음 주에 발표할 것 같음,사실로 확인된 정보가 아니라 개인적인 추측임을 나타내는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0031,알잘딱깔센,알아서잘딱깔끔하고센스있게|알잘딱,알아서 적절하고 깔끔하게 처리함,상황에 맞게 알아서 깔끔하게 처리함,기대,요청,이건 알잘딱깔센으로 부탁함,상대에게 부담을 줄 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0032,무물,무엇이든물어보세요,무엇이든 질문해 달라는 뜻,궁금한 것을 자유롭게 물어보라는 뜻,중립,질문 유도,오늘 저녁까지 무물 받음,SNS 문맥에서 주로 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0033,답정너,답은정해져있고너는대답만해,원하는 답을 이미 정해 놓고 질문함,원하는 대답을 이미 정해 두고 질문함,불만,비판,저 질문은 완전 답정너임,상대를 비판하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0034,관종,관심종자,관심을 받고 싶어 하는 사람,다른 사람의 관심을 많이 원하는 사람,부정,비판,그 행동은 좀 관종 같음,비하 표현이므로 주의가 필요함,직접 구축(공개 사용례 기반),2026.7.15
slang_0035,프로불편러,불편러,사소한 일에도 자주 불편함을 표현하는 사람,여러 일에 자주 불편함을 표현하는 사람,부정,비판,댓글에 프로불편러가 많음,상대 의견을 무시하는 표현이 될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0036,빌런,,문제를 일으키거나 독특한 행동을 하는 사람,문제를 일으키는 사람,부정 또는 장난,평가,지하철 소음 빌런을 봄,심각한 범죄자 의미가 아닐 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0037,금손,,손재주가 매우 좋은 사람,손재주가 매우 좋음,칭찬,칭찬,케이크 만든 거 보니 금손임,과장된 칭찬 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0038,똥손,,손재주가 부족한 사람,손재주가 서툼,자조 또는 부정,자기평가,나는 그림에 완전 똥손임,비하 표현으로 들릴 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0039,마상,마음의상처,마음에 상처를 받음,마음이 상함,상처,감정 공유,그 말 듣고 마상 입음,가벼운 상처를 과장해 말하기도 함,직접 구축(공개 사용례 기반),2026.7.15
slang_0040,심쿵,,설레거나 놀라서 심장이 뛰는 느낌,매우 설레거나 놀람,설렘,감정 공유,강아지 사진 보고 심쿵함,의학적 증상을 뜻하지 않음,직접 구축(공개 사용례 기반),2026.7.15
slang_0041,입덕,,어떤 대상의 팬이 되기 시작함,새롭게 팬이 됨,호감,팬 활동,그 무대 보고 입덕함,취미·팬덤 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0042,탈덕,,팬 활동을 그만둠,더 이상 팬 활동을 하지 않음,아쉬움,팬 활동,요즘은 그 그룹 탈덕함,일시적 감정일 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0043,덕질,,좋아하는 대상의 팬 활동을 함,좋아하는 대상을 열심히 응원하고 즐김,즐거움,팬 활동,주말에 굿즈 정리하며 덕질함,소비 활동을 포함할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0044,성덕,성공한덕후,좋아하는 대상을 직접 만나거나 목표를 이룬 팬,팬으로서 바라던 일을 이룸,성취감,팬 활동,콘서트 앞자리 가서 성덕됨,팬덤 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0045,덕메,덕질메이트,함께 팬 활동을 하는 친구,같이 팬 활동을 하는 친구,친밀감,관계 설명,콘서트 갈 덕메 구함,온라인 만남 시 안전에 주의해야 함,직접 구축(공개 사용례 기반),2026.7.15
slang_0046,최애,,가장 좋아하는 사람이나 대상,가장 좋아하는 대상,애정,선호 표현,내 최애는 이 배우임,팬덤 이외의 문맥에서도 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0047,차애,,두 번째로 좋아하는 대상,두 번째로 좋아하는 대상,호감,선호 표현,차애도 이번 무대 잘했음,순위를 매기는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0048,본진,,가장 중심적으로 좋아하는 팬 대상,가장 적극적으로 응원하는 대상,애정,팬 활동,내 본진은 이 팀임,원래 의미와 다른 팬덤 용법임,직접 구축(공개 사용례 기반),2026.7.15
slang_0049,떡상,,가격이나 인기 등이 크게 오름,가격이나 인기가 크게 상승함,기대,상승 평가,이 영상 조회수 떡상함,투자 문맥에서는 과장에 주의함,직접 구축(공개 사용례 기반),2026.7.15
slang_0050,떡락,,가격이나 인기 등이 크게 떨어짐,가격이나 인기가 크게 하락함,불안,하락 평가,주가가 오늘 떡락함,투자 판단에 그대로 사용하면 위험함,직접 구축(공개 사용례 기반),2026.7.15
slang_0051,손절,,관계나 투자를 끊음,관계나 거래를 정리함,단절,결정,계속 약속 어겨서 손절함,사람 관계에 쓰면 강한 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0052,존버,,어려운 상황에서도 오래 버팀,힘들어도 계속 버팀,인내,버팀,시험 끝날 때까지 존버함,거친 말의 줄임말에서 유래함,직접 구축(공개 사용례 기반),2026.7.15
slang_0053,가즈아,가자아,힘차게 가자거나 잘되기를 바라는 말,힘내서 가자 또는 잘되기를 바람,기대,응원,이번 프로젝트 성공 가즈아,투자·도박 문맥에서 과열을 부추길 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0054,뇌절,,같은 말이나 행동을 지나치게 반복함,같은 행동을 너무 오래 반복함,짜증,비판,그 농담 이제 뇌절임,상대를 공격하는 표현으로 쓰일 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0055,선넘네,선넘음|선넘었다,허용할 수 있는 범위를 벗어남,지나치거나 예의의 범위를 넘음,불쾌함,경고,그 말은 좀 선넘네,갈등 상황에서 강하게 들릴 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0056,에바,,지나치거나 말이 안 됨,너무 지나치거나 현실적이지 않음,당황,평가,그 가격은 진짜 에바임,정확한 의미가 문맥에 따라 달라짐,직접 구축(공개 사용례 기반),2026.7.15
slang_0057,오바,,과장하거나 지나치게 행동함,지나치게 과장함,당황,비판,그 반응은 좀 오바임,상대 감정을 가볍게 볼 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0058,레전드,,매우 인상적이거나 놀라운 일,정말 인상적이거나 놀라움,놀람,평가,오늘 경기 진짜 레전드였음,좋은 의미와 나쁜 의미 모두 가능함,직접 구축(공개 사용례 기반),2026.7.15
slang_0059,역대급,,지금까지 중 가장 두드러진 수준,지금까지 보기 드문 정도임,놀람,평가,이번 시험 난이도 역대급임,긍정·부정 모두 가능함,직접 구축(공개 사용례 기반),2026.7.15
slang_0060,미쳤다,미쳤네|미친듯|미쳤음,매우 놀랍거나 대단하다는 뜻으로 과장함,정말 놀랍거나 대단함,놀람,감탄,이 무대 퀄리티 미쳤다,정신질환을 뜻하는 말로 오해될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0061,대박,,매우 놀랍거나 큰 성공,정말 놀랍거나 잘됨,놀람,감탄,시험 만점이라니 대박임,일상적 감탄 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0062,헐,허얼,놀람이나 당황을 나타냄,정말 놀람,놀람,감탄,헐 그게 진짜야?,긍정·부정 모두 가능함,직접 구축(공개 사용례 기반),2026.7.15
slang_0063,어쩔티비,어쩔냉장고,상대 말을 장난스럽게 무시하거나 받아침,그래도 나는 신경 쓰지 않겠다는 장난스러운 말,장난,응수,네가 뭐라 해도 어쩔티비,상대를 무시하는 표현으로 들릴 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0064,저쩔티비,저쩔냉장고,어쩔티비에 대응하는 장난스러운 말,그러면 어떻게 할 것이냐는 장난스러운 응수,장난,응수,어쩔티비 하길래 저쩔티비라고 함,의미보다 말장난 성격이 강함,직접 구축(공개 사용례 기반),2026.7.15
slang_0065,머선129,머선일이고,무슨 일이냐는 뜻을 장난스럽게 표현함,무슨 일이 생겼는지 놀라서 묻는 말,놀람,질문,갑자기 비가 오네 머선129,지역어를 변형한 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0066,야르,,신나거나 만족스러운 상황에서 사용하는 감탄 표현,좋다 또는 신난다,신남,감탄,오늘 급식 완전 야르함,"정해진 사전적 의미보다는 신나는 분위기를 나타내는 유행어로 사용되며, 사용 집단과 문맥에 따라 의미가 달라질 수 있음",직접 구축(공개 사용례 기반),2026.7.15
slang_0067,점메추,점심메뉴추천,점심 메뉴를 추천해 달라는 뜻,점심 메뉴를 추천해 달라는 말,중립,요청,오늘 점메추 부탁함,식사 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0068,저메추,저녁메뉴추천,저녁 메뉴를 추천해 달라는 뜻,저녁 메뉴를 추천해 달라는 말,중립,요청,오늘 저메추 해줘,식사 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0069,아아,아이스아메리카노,아이스 아메리카노,차가운 아메리카노 커피,중립,주문,오늘도 아아 한 잔 마심,문맥에 따라 감탄사와 구분해야 함,직접 구축(공개 사용례 기반),2026.7.15
slang_0070,뜨아,뜨거운아메리카노,따뜻한 아메리카노,따뜻한 아메리카노 커피,중립,주문,추워서 오늘은 뜨아 마심,커피 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0071,반모,반말모드,서로 반말을 쓰기로 함,서로 편하게 반말로 대화하기로 함,친밀감,관계 제안,우리 반모해도 돼?,상대의 동의가 필요함,직접 구축(공개 사용례 기반),2026.7.15
slang_0072,낄끼빠빠,낄때끼고빠질때빠져,상황에 맞게 참여하거나 물러남,상황을 보고 나설 때와 물러날 때를 구분함,경고,조언,회의에서는 낄끼빠빠가 중요함,상대에게 직접 말하면 무례할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0073,복세편살,복잡한세상편하게살자,복잡한 세상에서 너무 어렵게 생각하지 말자는 태도,복잡하게 생각하지 말고 편하게 살자는 뜻,여유,태도 표현,이번 주말은 복세편살 모드임,책임 회피로 오해될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0074,할많하않,할말은많지만하지않겠다,할 말은 많지만 더 말하지 않겠다는 뜻,하고 싶은 말은 많지만 더 말하지 않겠음,답답함,대화 중단,그 상황은 진짜 할많하않임,간접적인 불만 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0075,별다줄,별걸다줄인다,별것을 다 줄여 말한다는 뜻,여러 표현을 지나치게 줄여 말함,당황,비판,요즘 말은 진짜 별다줄임,신조어 자체를 비판하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0076,문찐,문화 찐따,유행이나 대중문화를 잘 알지 못하는 사람,요즘 유행이나 문화를 잘 알지 못하는 사람,당황,자기평가,요즘 유행하는 노래를 하나도 몰라서 문찐된 기분임,요즘 유행하는 노래를 하나도 몰라서 문찐된 기분임,직접 구축(공개 사용례 기반),2026.7.15
slang_0077,좋댓구알,좋아요댓글구독알림,좋아요·댓글·구독·알림 설정을 요청함,"좋아요와 댓글, 구독과 알림 설정을 부탁함",기대,요청,영상 좋댓구알 부탁함,온라인 영상 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0078,자만추,자연스러운만남추구,소개팅보다 자연스러운 만남을 선호함,자연스럽게 사람을 만나고 싶어 함,호감,관계 선호,나는 자만추를 선호함,연애관을 단순화할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0079,인만추,인위적인만남추구,소개팅 등 계획된 만남을 선호함,소개를 통한 만남도 괜찮다고 여김,중립,관계 선호,요즘은 인만추도 괜찮음,연애 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0080,비담,비주얼담당,외모가 특히 돋보이는 사람,외모가 눈에 띄는 사람,칭찬,평가,그 팀에서 비담으로 불림,외모 중심 평가가 될 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0081,얼죽아,얼어죽어도아이스아메리카노,추운 날에도 아이스 아메리카노를 마시는 사람,추워도 차가운 커피를 마시는 사람,선호,취향 표현,한겨울에도 나는 얼죽아임,건강 상태에 따라 차가운 음료를 피해야 할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0082,물복,물렁한복숭아,부드럽고 물렁한 복숭아,부드러운 복숭아,선호,취향 표현,나는 딱복보다 물복파임,음식 취향 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0083,딱복,딱딱한복숭아,단단한 복숭아,단단한 복숭아,선호,취향 표현,나는 무조건 딱복파임,음식 취향 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0084,민초,민트초코,민트초코 맛,민트와 초콜릿이 섞인 맛,선호,취향 표현,나는 민초 좋아함,호불호가 강한 음식 취향 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0085,반민초,반민트초코,민트초코를 싫어함,민트초코 맛을 좋아하지 않음,비선호,취향 표현,나는 완전 반민초임,상대 취향을 공격하지 않도록 주의함,직접 구축(공개 사용례 기반),2026.7.15
slang_0086,내돈내산,내돈주고내가산,직접 돈을 내고 구매함,직접 돈을 내고 산 제품임,신뢰 강조,후기,이 리뷰는 내돈내산임,광고 여부를 강조하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0087,스껄,,멋지거나 신나고 분위기가 좋다는 감탄 표현,매우 멋지고 신남,흥분,감탄,오늘 공연 분위기 완전 스껄이었음,정확한 뜻보다 분위기와 흥을 표현하는 말로 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0088,스불재,스스로불러온재앙,자신의 행동 때문에 문제가 생김,자신이 한 행동 때문에 곤란해짐,후회,자기평가,밤새 놀다가 지각한 건 스불재임,자책을 가볍게 표현함,직접 구축(공개 사용례 기반),2026.7.15
slang_0089,내로남불,내가하면로맨스남이하면불륜,자기 행동과 남의 행동을 다르게 평가함,자기에게는 관대하고 남에게는 엄격함,불만,비판,그 주장은 완전 내로남불임,상대를 강하게 비판하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0090,중꺾마,중요한건꺾이지않는마음,어려워도 포기하지 않는 마음이 중요함,어려워도 포기하지 않는 마음이 중요함,의지,응원,이번 시험도 중꺾마로 버팀,지나친 인내를 강요하지 않도록 주의함,직접 구축(공개 사용례 기반),2026.7.15
slang_0091,중꺾그마,중요한건꺾였는데도그냥하는마음,의욕이 줄어도 해야 할 일을 계속함,힘들어도 해야 할 일을 계속함,체념과 의지,자기격려,의욕은 없지만 중꺾그마로 과제함,번아웃을 가볍게 넘기지 않도록 주의함,직접 구축(공개 사용례 기반),2026.7.15
slang_0092,폼미쳤다,폼미침|폼이좋다,실력이나 상태가 매우 좋음,실력이나 상태가 아주 좋음,칭찬,감탄,오늘 공격수 폼미쳤다,사람의 순간적 상태를 평가하는 표현임,직접 구축(공개 사용례 기반),2026.7.15
slang_0093,억텐,억지텐션,억지로 밝거나 신나는 분위기를 냄,억지로 밝은 척하거나 신나는 분위기를 냄,어색함,평가,오늘 진행이 좀 억텐이었음,상대의 감정을 단정할 수 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0094,찐텐,진짜텐션,진짜 감정이나 에너지가 드러남,실제 감정이 강하게 드러남,강한 감정,상태 설명,게임에서 지니까 찐텐 나옴,분노·즐거움 모두 가능함,직접 구축(공개 사용례 기반),2026.7.15
slang_0095,텐션,,분위기나 활력의 정도,기분과 활력의 정도,중립,상태 설명,오늘 다들 텐션이 높음,원래 물리 용어와 다른 일상 용법임,직접 구축(공개 사용례 기반),2026.7.15
slang_0096,현생,현실생활,온라인 활동과 구분되는 실제 생활,인터넷 밖의 실제 생활,중립,상태 설명,현생이 바빠서 연락 늦음,온라인 커뮤니티 문맥에서 사용됨,직접 구축(공개 사용례 기반),2026.7.15
slang_0097,잠수,,연락이나 활동을 갑자기 중단함,연락 없이 한동안 나타나지 않음,불만,관계 설명,친구가 갑자기 잠수탐,안전 문제와 단순 연락 중단을 구분해야 함,직접 구축(공개 사용례 기반),2026.7.15
slang_0098,읽씹,읽고씹음,메시지를 읽고 답하지 않음,메시지를 읽고도 답하지 않음,서운함,관계 설명,내 메시지 또 읽씹당함,상대가 바쁜 상황일 수도 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0099,안읽씹,안읽고씹음,메시지를 읽지 않은 상태로 오래 답하지 않음,메시지를 확인하지 않고 답하지 않음,서운함,관계 설명,하루 종일 안읽씹 상태임,알림을 못 봤을 가능성도 있음,직접 구축(공개 사용례 기반),2026.7.15
slang_0100,칼답,,매우 빠르게 답장함,아주 빠르게 답장함,긍정,관계 설명,메시지 보내자마자 칼답옴,빠른 답장이 항상 가능하지는 않음,직접 구축(공개 사용례 기반),2026.7.15
